job_id,date,month,technician_id,technician_name,region,assigned_team,job_type,status,priority,dispatch_time_minutes,completion_time_minutes,first_time_fix,related_incident_id
JOB-2026-00929,2026-01-01,2026-01,TECH-013,Eka N.,Yogyakarta,NOC Core,Site Audit,Closed,High,5,143,true,INC-2026-01241
JOB-2026-01443,2026-01-01,2026-01,TECH-004,Bima E.,Medan,NOC Core,Preventive Maintenance,Closed,Critical,24,169,false,INC-2026-00493
JOB-2026-00640,2026-01-02,2026-01,TECH-044,Gita S.,Surabaya,Field Operations,Installation,In Progress,Low,149,,true,
JOB-2026-00666,2026-01-02,2026-01,TECH-017,Dewi R.,Balikpapan,NOC Core,Preventive Maintenance,Resolved,Low,202,404,false,INC-2026-00109
JOB-2026-01662,2026-01-02,2026-01,TECH-022,Indra W.,Balikpapan,Field Operations,Site Audit,Closed,Low,177,420,true,
JOB-2026-00230,2026-01-03,2026-01,TECH-003,Lukman D.,Makassar,Field Operations,Site Audit,Closed,Critical,29,137,true,
JOB-2026-00409,2026-01-03,2026-01,TECH-047,Indra V.,Semarang,Customer Assurance,Preventive Maintenance,Closed,Low,169,348,false,INC-2026-00579
JOB-2026-01790,2026-01-03,2026-01,TECH-005,Citra F.,Medan,Enterprise Support,Corrective Maintenance,Closed,High,32,188,true,INC-2026-00914
JOB-2026-00641,2026-01-04,2026-01,TECH-026,Kirana A.,Yogyakarta,NOC Core,Corrective Maintenance,Closed,Medium,131,244,true,INC-2026-00763
JOB-2026-01254,2026-01-04,2026-01,TECH-050,Dewi Y.,Medan,Enterprise Support,Preventive Maintenance,Closed,High,80,169,true,
JOB-2026-00136,2026-01-05,2026-01,TECH-051,Lukman Z.,Makassar,Fiber Maintenance,Installation,Closed,Low,185,445,false,
JOB-2026-00574,2026-01-05,2026-01,TECH-047,Bima V.,Palembang,Fiber Maintenance,Corrective Maintenance,Closed,Medium,66,347,true,INC-2026-02197
JOB-2026-00581,2026-01-05,2026-01,TECH-035,Indra J.,Jakarta,Fiber Maintenance,Installation,Resolved,Medium,120,255,true,INC-2026-01506
JOB-2026-00846,2026-01-05,2026-01,TECH-046,Indra U.,Palembang,Customer Assurance,Corrective Maintenance,In Progress,Medium,97,,true,INC-2026-02197
JOB-2026-01580,2026-01-05,2026-01,TECH-041,Adit P.,Jakarta,Enterprise Support,Preventive Maintenance,Open,Medium,102,,true,INC-2026-01506
JOB-2026-00563,2026-01-06,2026-01,TECH-028,Eka C.,Denpasar,NOC Core,Site Audit,Resolved,High,98,250,false,
JOB-2026-00592,2026-01-06,2026-01,TECH-021,Dewi V.,Yogyakarta,Enterprise Support,Preventive Maintenance,Resolved,Medium,83,240,true,
JOB-2026-00317,2026-01-07,2026-01,TECH-051,Kirana Z.,Denpasar,Field Operations,Site Audit,Closed,Low,187,513,false,
JOB-2026-00532,2026-01-07,2026-01,TECH-056,Dewi E.,Bandung,Customer Assurance,Corrective Maintenance,Closed,Low,225,410,true,
JOB-2026-00664,2026-01-07,2026-01,TECH-051,Citra Z.,Semarang,Field Operations,Site Audit,Closed,Low,169,447,true,INC-2026-00390
JOB-2026-00694,2026-01-07,2026-01,TECH-050,Kirana Y.,Semarang,Enterprise Support,Preventive Maintenance,Open,Low,144,,true,INC-2026-00390
JOB-2026-00867,2026-01-07,2026-01,TECH-058,Joko G.,Semarang,NOC Core,Preventive Maintenance,Resolved,Medium,99,272,false,
JOB-2026-01021,2026-01-07,2026-01,TECH-049,Kirana X.,Semarang,Enterprise Support,Installation,Open,High,49,,false,
JOB-2026-01129,2026-01-07,2026-01,TECH-016,Adit Q.,Semarang,Customer Assurance,Installation,Closed,Low,197,412,true,INC-2026-00390
JOB-2026-01761,2026-01-07,2026-01,TECH-045,Indra T.,Yogyakarta,Field Operations,Preventive Maintenance,Resolved,Critical,35,107,true,
JOB-2026-01771,2026-01-07,2026-01,TECH-049,Indra X.,Balikpapan,Customer Assurance,Preventive Maintenance,Closed,Medium,97,207,true,INC-2026-01853
JOB-2026-00030,2026-01-08,2026-01,TECH-060,Lukman I.,Bandung,Enterprise Support,Installation,Closed,High,49,209,false,INC-2026-00013
JOB-2026-00247,2026-01-08,2026-01,TECH-056,Gita E.,Denpasar,Fiber Maintenance,Site Audit,Closed,High,6,296,false,INC-2026-00952
JOB-2026-00571,2026-01-08,2026-01,TECH-056,Citra E.,Yogyakarta,Fiber Maintenance,Corrective Maintenance,In Progress,High,44,,true,
JOB-2026-01224,2026-01-08,2026-01,TECH-051,Hana Z.,Bandung,Enterprise Support,Corrective Maintenance,Closed,High,37,153,true,INC-2026-00013
JOB-2026-01322,2026-01-08,2026-01,TECH-011,Adit L.,Jakarta,Fiber Maintenance,Corrective Maintenance,Closed,Low,185,496,true,INC-2026-02124
JOB-2026-00914,2026-01-09,2026-01,TECH-057,Fajar F.,Makassar,Field Operations,Site Audit,Resolved,Low,171,408,true,INC-2026-01453
JOB-2026-01046,2026-01-09,2026-01,TECH-003,Lukman D.,Balikpapan,Enterprise Support,Site Audit,Closed,Low,192,494,true,
JOB-2026-01190,2026-01-09,2026-01,TECH-006,Fajar G.,Medan,Field Operations,Site Audit,Closed,Low,202,393,true,INC-2026-00649
JOB-2026-01271,2026-01-09,2026-01,TECH-019,Kirana T.,Jakarta,Fiber Maintenance,Installation,Resolved,Low,177,349,true,INC-2026-00087
JOB-2026-01473,2026-01-09,2026-01,TECH-005,Adit F.,Medan,Fiber Maintenance,Site Audit,Closed,Low,171,435,true,INC-2026-00649
JOB-2026-00971,2026-01-10,2026-01,TECH-045,Dewi T.,Semarang,Enterprise Support,Installation,Resolved,Medium,92,300,false,INC-2026-01705
JOB-2026-01022,2026-01-10,2026-01,TECH-023,Gita X.,Medan,Fiber Maintenance,Corrective Maintenance,Closed,Low,137,441,true,INC-2026-00196
JOB-2026-00106,2026-01-11,2026-01,TECH-009,Fajar J.,Surabaya,Customer Assurance,Installation,In Progress,Low,197,,true,
JOB-2026-00688,2026-01-11,2026-01,TECH-055,Lukman D.,Bandung,NOC Core,Site Audit,Resolved,Low,168,409,false,INC-2026-01951
JOB-2026-01130,2026-01-11,2026-01,TECH-031,Fajar F.,Bandung,Enterprise Support,Preventive Maintenance,Closed,Low,170,406,false,
JOB-2026-01603,2026-01-11,2026-01,TECH-018,Joko S.,Medan,NOC Core,Preventive Maintenance,Closed,Low,172,350,true,INC-2026-01227
JOB-2026-00220,2026-01-12,2026-01,TECH-060,Lukman I.,Yogyakarta,Customer Assurance,Corrective Maintenance,In Progress,Low,181,,true,
JOB-2026-00437,2026-01-12,2026-01,TECH-017,Indra R.,Medan,Fiber Maintenance,Preventive Maintenance,In Progress,Critical,5,,true,INC-2026-00514
JOB-2026-01039,2026-01-12,2026-01,TECH-054,Dewi C.,Yogyakarta,Customer Assurance,Installation,Closed,Low,201,444,false,INC-2026-01651
JOB-2026-01275,2026-01-12,2026-01,TECH-017,Bima R.,Medan,Customer Assurance,Preventive Maintenance,In Progress,Critical,39,,false,INC-2026-00514
JOB-2026-01541,2026-01-12,2026-01,TECH-006,Bima G.,Semarang,NOC Core,Installation,Closed,Low,165,368,true,
